tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0000001,short,Carmencita,Carmencita,0,1894,\N,1,"Documentary,Short",5.7,1886
tt0000002,short,Le clown et ses chiens,Le clown et ses chiens,0,1892,\N,5,"Animation,Short",5.9,250
tt0000003,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,\N,4,"Animation,Comedy,Romance",6.5,1674
tt0000004,short,Un bon bock,Un bon bock,0,1892,\N,12,"Animation,Short",5.8,163
tt0000005,short,Blacksmith Scene,Blacksmith Scene,0,1893,\N,1,"Comedy,Short",6.2,2494
tt0000006,short,Chinese Opium Den,Chinese Opium Den,0,1894,\N,1,Short,5.2,167
tt0000007,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,0,1894,\N,1,"Short,Sport",5.4,778
tt0000008,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,0,1894,\N,1,"Documentary,Short",5.4,2026
tt0000009,short,Miss Jerry,Miss Jerry,0,1894,\N,40,"Romance,Short",5.3,195
tt0000010,short,Leaving the Factory,La sortie de l'usine Lumière à Lyon,0,1895,\N,1,"Documentary,Short",6.9,6816
tt0000011,short,Akrobatisches Potpourri,Akrobatisches Potpourri,0,1895,\N,1,"Documentary,Short",5.3,347
tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,0,1896,\N,1,"Documentary,Short",7.4,11710
tt0000013,short,The Photographical Congress Arrives in Lyon,Le débarquement du congrès de photographie à Lyon,0,1895,\N,1,"Documentary,Short",5.7,1807
tt0000014,short,The Waterer Watered,L'arroseur arrosé,0,1895,\N,1,"Comedy,Short",7.1,5249
tt0000015,short,Autour d'une cabine,Autour d'une cabine,0,1894,\N,2,"Animation,Short",6.2,1006
tt0000016,short,Boat Leaving the Port,Barque sortant du port,0,1895,\N,1,"Documentary,Short",5.9,1415
tt0000017,short,Italienischer Bauerntanz,Italienischer Bauerntanz,0,1895,\N,1,"Documentary,Short",4.6,308
tt0000018,short,Das boxende Känguruh,Das boxende Känguruh,0,1895,\N,1,Short,5.3,565
tt0000019,short,The Clown Barber,The Clown Barber,0,1898,\N,\N,"Comedy,Short",5.2,31
tt0000020,short,The Derby 1895,The Derby 1895,0,1895,\N,1,"Documentary,Short,Sport",4.8,335
tt0000022,short,Blacksmith Scene,Les forgerons,0,1895,\N,1,"Documentary,Short",5.1,1047
tt0000023,short,The Sea,Baignade en mer,0,1895,\N,1,"Documentary,Short",5.7,1366
tt0000024,short,Opening of the Kiel Canal,Opening of the Kiel Canal,0,1895,\N,\N,"News,Short",4.3,91
tt0000025,short,The Oxford and Cambridge University Boat Race,The Oxford and Cambridge University Boat Race,0,1895,\N,\N,"News,Short,Sport",4.3,42
tt0000026,short,The Messers. Lumière at Cards,Partie d'écarté,0,1896,\N,1,"Documentary,Short",5.7,1476
tt0000027,short,Cordeliers' Square in Lyon,Place des Cordeliers à Lyon,0,1895,\N,1,"Documentary,Short",5.6,1101
tt0000028,short,Fishing for Goldfish,La pêche aux poissons rouges,0,1895,\N,1,"Documentary,Short",5.1,1018
tt0000029,short,Baby's Meal,Repas de bébé,0,1895,\N,1,"Documentary,Short",5.9,3220
tt0000030,short,Rough Sea at Dover,Rough Sea at Dover,0,1895,\N,1,"Documentary,Short",5.2,805
tt0000031,short,Jumping the Blanket,Le saut à la couverture,0,1895,\N,1,"Documentary,Short",5.5,963
tt0000032,short,Die Serpentintänzerin,Die Serpentintänzerin,0,1895,\N,1,Short,5,398
tt0000033,short,Horse Trick Riders,La voltige,0,1895,\N,1,"Comedy,Documentary,Short",5.5,981
tt0000034,short,Arrivée d'un train gare de Vincennes,Arrivée d'un train gare de Vincennes,0,1896,\N,1,"Documentary,Short",5,188
tt0000035,short,Watering the Flowers,L'arroseur,0,1896,\N,1,"Comedy,Short",5.4,77
tt0000036,short,Awakening of Rip,Awakening of Rip,0,1896,\N,0,"Drama,Short",4.4,582
tt0000037,short,Sea Bathing,Baignade en mer,0,1896,\N,1,Short,4.4,62
tt0000038,short,The Ball Game,The Ball Game,0,1898,\N,\N,"Documentary,Short,Sport",4.2,194
tt0000039,short,Barnet Horse Fair,Barnet Horse Fair,0,1896,\N,\N,Short,3.6,27
tt0000040,short,Barque sortant du port de Trouville,Barque sortant du port de Trouville,0,1896,\N,\N,"Documentary,Short",4.3,62
tt0000041,short,Bataille de neige,Bataille de neige,0,1897,\N,1,"Comedy,Documentary,Short",6.7,1742
tt0000042,short,Bateau-mouche sur la Seine,Bateau-mouche sur la Seine,0,1896,\N,\N,"Documentary,Short",4.2,36
tt0000043,short,Batteuse à vapeur,Batteuse à vapeur,0,1896,\N,\N,"Documentary,Short",3.6,31
